Devices,Date,Esn,Part Of Netflix Household
Chromecast V5,2023-05-16 00:00:00,GOOGCAP0010000000000000025787328,No
DefaultWidevinePhone,2023-07-31 00:00:00,NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,No
DefaultWidevinePhone,2023-07-17 00:00:00,NFANDROID1-PRV-P-OPPO=CPH2365-21002-C3B58A020997B1129732BFD08F1B4F8CF68D106F8427D3186AD0E70E6D9FCD11,No
defaultWidevineTablet,2023-06-26 00:00:00,NFANDROID1-PRV-T-LENOVTB328FU-23984-95F8A9D05C8CA7022101C5CF8873FE7CFD3AF71A4D52A63B94C6CF667A277B92,No
Chromecast with Google TV,2023-07-31 00:00:00,NFANDROID2-PRV-SABRINA-GOOGLCHROMECAST-27454-A338B787ACE07206419C58E19AAEA5CD6DFC4C8C0C57388DDE39CB24B92518E5,No
iPhone 13 Pro,2023-07-27 00:00:00,NFAPPL-02-IPHONE14=2-360B13948814227917C5338492AC69DE887B5DB32C4C05327518742853A9BF10,No
iPhone 14 Pro,2023-07-28 00:00:00,NFAPPL-02-IPHONE15=2-E45DBCF73A013E902E1FEA69D0366A3018729C1F738B2D9B229D4B6B0645D7A7,Yes
iPhone 14 Pro,2023-07-30 00:00:00,NFAPPL-02-IPHONE15=2-PXA-020285TU0D576QIALGT02QBL0SGFJDRG3IAOK3RDBQ04VQTL89DO6IM3J9I7764U7LMG30QTHV1QMSJDV06A48MKMPIQLARS0JIBE3FE,Yes
Chrome PC (Cadmium),2023-06-19 00:00:00,NFCDCH-02-K915V5DAW4H0RDQNDM2KE4X1CJPFQN,No
Xbox Series S,2023-07-15 00:00:00,NFXBSX-02-1TPPMB6RH95ZGTM9WZCTHSPP003R9DVD5UDFWW38ECNDV7FT2Y07,Yes
Xbox One Gibbon,2023-07-31 00:00:00,NFXONE-02-7JA988FM8ETE3HCNSV1DCZ47P2MKCTZ8XSA5D225HE19WPCDZS,Yes
Midland,2023-07-31 00:00:00,RKU-8XXXX-YK00E6078266,No
2022 Pontus-M QLED  TV,2023-07-31 00:00:00,SSTV-PTM2-0000000000000001250041,Yes
