Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
La que paga,tvui,movieDetails,,,2023-07-29 04:25:59
La que paga,tvui,profilesGate,,,2023-07-29 04:25:59
La que paga,tvui,playback,,,2023-07-29 03:55:59
La que paga,tvui,movieDetails,,,2023-07-29 03:55:59
La que paga,tvui,postPlay,,,2023-07-29 03:29:00
La que paga,tvui,playback,,,2023-07-29 03:29:00
La que paga,tvui,playback,,,2023-07-29 03:28:54
La que paga,tvui,postPlay,,,2023-07-29 03:28:54
La que paga,tvui,episodesSelector,,,2023-07-29 03:02:45
La que paga,tvui,playback,,,2023-07-29 03:02:45
La que paga,tvui,episodesSelector,,,2023-07-29 03:02:11
La que paga,tvui,movieDetails,,,2023-07-29 03:02:11
La que paga,tvui,browseTitles,,,2023-07-29 03:02:08
La que paga,tvui,movieDetails,,,2023-07-29 03:02:08
La que paga,tvui,browseTitles,,,2023-07-29 03:01:45
La que paga,tvui,search,,,2023-07-29 03:01:45
La que paga,tvui,movieDetails,,,2023-07-29 03:01:06
La que paga,tvui,search,,,2023-07-29 03:01:06
La que paga,tvui,movieDetails,,,2023-07-29 03:01:03
La que paga,tvui,playback,,,2023-07-29 03:01:03
La que paga,tvui,episodesSelector,,,2023-07-29 02:43:11
La que paga,tvui,playback,,,2023-07-29 02:43:11
La que paga,tvui,episodesSelector,,,2023-07-29 02:42:35
La que paga,tvui,movieDetails,,,2023-07-29 02:42:35
La que paga,tvui,playback,,,2023-07-29 02:42:31
La que paga,tvui,movieDetails,,,2023-07-29 02:42:31
La que paga,tvui,postPlay,,,2023-07-29 02:41:40
La que paga,tvui,playback,,,2023-07-29 02:41:40
La que paga,tvui,playback,,,2023-07-29 02:41:34
La que paga,tvui,postPlay,,,2023-07-29 02:41:34
La que paga,tvui,movieDetails,,,2023-07-29 02:21:53
La que paga,tvui,playback,,,2023-07-29 02:21:53
La que paga,tvui,movieDetails,,,2023-07-29 02:21:52
La que paga,tvui,search,,,2023-07-29 02:21:52
La que paga,tvui,browseTitles,,,2023-07-29 02:21:39
La que paga,tvui,search,,,2023-07-29 02:21:39
La que paga,tvui,playback,,,2023-07-29 02:21:23
La que paga,tvui,browseTitles,,,2023-07-29 02:21:23
La que paga,tvui,movieDetails,,,2023-07-29 01:51:23
La que paga,tvui,playback,,,2023-07-29 01:51:23
La que paga,tvui,browseTitlesGallery,,,2023-07-29 01:51:22
La que paga,tvui,movieDetails,,,2023-07-29 01:51:22
La que paga,tvui,categoryHub,,,2023-07-29 01:50:20
La que paga,tvui,browseTitlesGallery,,,2023-07-29 01:50:20
La que paga,tvui,categoryHub,,,2023-07-29 01:50:13
La que paga,tvui,browseTitles,,,2023-07-29 01:50:13
La que paga,tvui,browseTitles,,,2023-07-29 01:49:26
La que paga,tvui,movieDetails,,,2023-07-29 01:49:26
La que paga,tvui,postPlay,,,2023-07-29 01:49:21
La que paga,tvui,movieDetails,,,2023-07-29 01:49:21
La que paga,tvui,playback,,,2023-07-29 01:47:52
La que paga,tvui,postPlay,,,2023-07-29 01:47:52
La que paga,tvui,movieDetails,,,2023-07-29 00:52:32
La que paga,tvui,playback,,,2023-07-29 00:52:32
La que paga,tvui,playback,,,2023-07-29 00:52:30
La que paga,tvui,movieDetails,,,2023-07-29 00:52:30
La que paga,tvui,playback,,,2023-07-29 00:45:05
La que paga,tvui,movieDetails,,,2023-07-29 00:45:05
La que paga,tvui,browseTitles,,,2023-07-29 00:45:02
La que paga,tvui,movieDetails,,,2023-07-29 00:45:02
La que paga,tvui,browseTitles,,,2023-07-29 00:44:49
La que paga,tvui,profilesGate,,,2023-07-29 00:44:49
