Profile Name,Title Description,Device,Playback Start Utc Ts,Country,Playtraces
La que paga,"Chef's Table: Volume 3: ""Tim Raue""",Google Sabrina ATV Set Top Box,2023-07-29 03:29:00,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":1001},{""eventType"":""playing"",""sessionOffsetMs"":1458,""mediaOffsetMs"":1001},{""eventType"":""paused"",""sessionOffsetMs"":1015118,""mediaOffsetMs"":1013952}]"
La que paga,"Chef's Table: Volume 3: ""Ivan Orkin""",Google Sabrina ATV Set Top Box,2023-07-29 03:02:46,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":1404528},{""eventType"":""playing"",""sessionOffsetMs"":3102,""mediaOffsetMs"":1404528},{""eventType"":""paused"",""sessionOffsetMs"":1574930,""mediaOffsetMs"":2975938},{""eventType"":""stopped"",""sessionOffsetMs"":1575192,""mediaOffsetMs"":2976212}]"
La que paga,"Chef's Table: Volume 6: ""Mashama Bailey""",Google Sabrina ATV Set Top Box,2023-07-29 03:02:08,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":4880,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":5438,""mediaOffsetMs"":77},{""eventType"":""stopped"",""sessionOffsetMs"":39893,""mediaOffsetMs"":77}]"
La que paga,Chef's Table: Volume 3 (Trailer),Google Sabrina ATV Set Top Box,2023-07-29 03:02:05,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":3201,""mediaOffsetMs"":0}]"
La que paga,Grey's Anatomy: Season 1 - CLM 3,Google Sabrina ATV Set Top Box,2023-07-29 03:02:03,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":2277,""mediaOffsetMs"":0}]"
La que paga,The Walking Dead: Season 1 - CLM 4,Google Sabrina ATV Set Top Box,2023-07-29 03:02:01,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":2409,""mediaOffsetMs"":0}]"
La que paga,First They Killed My Father (Trailer),Google Sabrina ATV Set Top Box,2023-07-29 03:01:49,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":3857,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":12571,""mediaOffsetMs"":8347},{""eventType"":""stopped"",""sessionOffsetMs"":14227,""mediaOffsetMs"":8347}]"
La que paga,"Earthstorm: Season 1: ""Volcano""",Google Sabrina ATV Set Top Box,2023-07-29 02:43:11,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1337,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":19427,""mediaOffsetMs"":18040},{""eventType"":""paused"",""sessionOffsetMs"":23771,""mediaOffsetMs"":22060},{""eventType"":""playing"",""sessionOffsetMs"":46995,""mediaOffsetMs"":22060},{""eventType"":""paused"",""sessionOffsetMs"":52709,""mediaOffsetMs"":27616},{""eventType"":""playing"",""sessionOffsetMs"":114675,""mediaOffsetMs"":27616},{""eventType"":""paused"",""sessionOffsetMs"":160856,""mediaOffsetMs"":74120},{""eventType"":""reposition"",""sessionOffsetMs"":160856,""mediaOffsetMs"":89560},{""eventType"":""playing"",""sessionOffsetMs"":161259,""mediaOffsetMs"":89655},{""eventType"":""playing"",""sessionOffsetMs"":161281,""mediaOffsetMs"":89560},{""eventType"":""paused"",""sessionOffsetMs"":849348,""mediaOffsetMs"":777134},{""eventType"":""reposition"",""sessionOffsetMs"":849471,""mediaOffsetMs"":770000},{""eventType"":""playing"",""sessionOffsetMs"":851411,""mediaOffsetMs"":769800},{""eventType"":""playing"",""sessionOffsetMs"":851588,""mediaOffsetMs"":769800},{""eventType"":""paused"",""sessionOffsetMs"":854140,""mediaOffsetMs"":771798},{""eventType"":""playing"",""sessionOffsetMs"":871692,""mediaOffsetMs"":771798},{""eventType"":""paused"",""sessionOffsetMs"":1072850,""mediaOffsetMs"":971825},{""eventType"":""stopped"",""sessionOffsetMs"":1076251,""mediaOffsetMs"":971825}]"
La que paga,"Earthstorm: Season 1: ""Volcano""",Google Sabrina ATV Set Top Box,2023-07-29 02:41:39,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":6000},{""eventType"":""playing"",""sessionOffsetMs"":1611,""mediaOffsetMs"":6000},{""eventType"":""paused"",""sessionOffsetMs"":19773,""mediaOffsetMs"":23516},{""eventType"":""stopped"",""sessionOffsetMs"":52556,""mediaOffsetMs"":23516}]"
La que paga,"Earthstorm: Season 1: ""Tornado""",Google Sabrina ATV Set Top Box,2023-07-29 02:21:52,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":1790120},{""eventType"":""playing"",""sessionOffsetMs"":3814,""mediaOffsetMs"":1790120},{""eventType"":""playing"",""sessionOffsetMs"":19005,""mediaOffsetMs"":1805280},{""eventType"":""playing"",""sessionOffsetMs"":26360,""mediaOffsetMs"":1812640},{""eventType"":""playing"",""sessionOffsetMs"":34020,""mediaOffsetMs"":1820280},{""eventType"":""playing"",""sessionOffsetMs"":41617,""mediaOffsetMs"":1827880},{""eventType"":""playing"",""sessionOffsetMs"":48194,""mediaOffsetMs"":1834440},{""eventType"":""paused"",""sessionOffsetMs"":876577,""mediaOffsetMs"":2662327},{""eventType"":""playing"",""sessionOffsetMs"":1076433,""mediaOffsetMs"":2662327},{""eventType"":""paused"",""sessionOffsetMs"":1188428,""mediaOffsetMs"":2774096},{""eventType"":""stopped"",""sessionOffsetMs"":1188692,""mediaOffsetMs"":2774628}]"
