Profile Name,Title Name,Rating Type,Star Value,Thumbs Value,Device Model,Event Utc Ts,Region View Date
La que paga,Wellmania,thumb,,3,iPhone,2023-04-05 02:18:55,
La que paga,Triviaverse,thumb,,3,iPhone,2022-12-01 03:43:18,
La que paga,A Trip to Infinity,thumb,,3,iPhone,2022-11-05 15:33:07,
La que paga,Love,thumb,,2,HTML 5,2020-05-17 03:37:28,
La que paga,Self Made: Inspired by the Life of Madam C.J. Walker,thumb,,2,iPhone,2020-03-25 04:22:11,
La que paga,Chill with Bob Ross,thumb,,2,iPhone,2019-06-15 00:45:59,
La que paga,Supermassive Black Holes,thumb,,2,HTML 5,2018-09-23 02:03:49,
La que paga,Cosmos: A Spacetime Odyssey,thumb,,0,iPhone,2018-01-13 00:25:10,
La que paga,Black Mirror,thumb,,2,iPhone,2017-09-28 02:08:42,
La que paga,First They Killed My Father,thumb,,2,iPad,2017-09-20 10:28:26,
La que paga,Okja,star,5,2,Smart TV,2017-07-07 19:37:00,2017-07-06
La que paga,First Contact: Lost Tribe of the Amazon,star,5,2,Laptop/Desktop,2017-01-28 20:05:58,
La que paga,Mulan,star,-2,0,iPhone,2015-08-29 22:23:13,2015-08-29
La que paga,The Walking Dead,star,5,2,Unknown,2015-05-24 17:02:41,2015-05-24
La que paga,Law & Order: Special Victims Unit,star,5,2,Unknown,2015-02-18 19:29:10,2015-02-18
La que paga,Inside Combat Rescue,star,5,2,Laptop/Desktop,2014-09-08 02:48:22,
La que paga,National Geographic: King Tut's Final Secrets,star,5,2,Laptop/Desktop,2014-08-23 00:17:34,2014-08-22
La que paga,The Addams Family,star,5,2,Unknown,2014-01-25 15:56:44,2014-01-24
La que paga,Sherlock,star,5,2,Laptop/Desktop,2014-01-25 03:17:35,2014-01-24
La que paga,17 Girls,star,4,2,Laptop/Desktop,2014-01-19 05:31:01,2014-01-18
La que paga,Bully,star,3,2,Unknown,2014-01-19 03:56:07,2014-01-18
La que paga,Attack on Titan,star,5,2,Unknown,2014-01-18 23:20:40,2014-01-18
La que paga,My Babysitter's a Vampire: The Movie,star,5,2,Unknown,2014-01-07 21:52:13,2014-01-04
La que paga,Batman: The Brave and the Bold,star,5,2,Unknown,2014-01-07 20:36:11,2014-01-04
La que paga,Phineas and Ferb the Movie: Across the 2nd Dimension,star,5,2,Unknown,2014-01-04 15:57:01,2014-01-03
