Profile Name,Country Iso Code,Device,Is Kids,Query Typed,Displayed Name,Action,Section,Utc Timestamp
La que paga,US,Set Top Box,0,,,play,prequery_results,2023-07-29 02:21:56
La que paga,US,Set Top Box,0,,,select,prequery_results,2023-07-29 02:21:52
La que paga,MX,Android Phone,0,extrac,Extraction 2,select,title_results,2023-07-06 00:57:23
La que paga,MX,Android Phone,0,hem,Extraction,select,title_results,2023-07-06 00:57:05
La que paga,US,iPhone,0,titanic,"Attack on Pearl Harbor: Minute by Minute: Season 1: ""Countdown to War""",play,title_results,2023-06-28 17:47:22
La que paga,US,iPhone,0,titanic,,select,title_results,2023-06-28 17:47:20
La que paga,US,iPhone,0,titanic,,select,title_results,2023-06-28 17:47:06
La que paga,US,iPhone,0,broken,"Broken: Season 1: ""Makeup Mayhem""",play,title_results,2023-06-27 00:02:03
La que paga,US,iPhone,0,broken,,select,title_results,2023-06-26 23:54:06
La que paga,US,iPhone,0,bla,,select,title_results,2023-06-17 03:25:33
La que paga,US,Set Top Box,0,ra,,play,title_results,2023-06-05 01:15:20
La que paga,US,Set Top Box,0,ra,,select,title_results,2023-06-05 01:15:18
La que paga,US,Set Top Box,0,ra,,play,title_results,2023-06-05 01:13:36
La que paga,US,Set Top Box,0,ra,,select,title_results,2023-06-05 01:13:34
La que paga,US,iPhone,0,black,"Black Mirror: Season 5: ""Smithereens""",play,title_results,2023-06-02 04:17:16
La que paga,US,iPhone,0,black,,select,title_results,2023-06-02 04:17:07
La que paga,US,iPhone,0,ultim,"The Ultimatum: Queer Love: Season 1: ""In and Out of Love""",play,title_results,2023-05-31 23:32:49
La que paga,US,iPhone,0,ultim,,select,title_results,2023-05-31 23:32:35
La que paga,US,iPhone,0,aileen wou,,select,title_results,2023-05-30 03:10:39
La que paga,US,iPhone,0,aileen wou,The Mystery of Marilyn Monroe: The Unheard Tapes,add,title_results,2023-05-30 03:10:31
La que paga,US,iPhone,0,aileen wou,The Mystery of Marilyn Monroe: The Unheard Tapes,select,title_results,2023-05-30 03:10:26
La que paga,US,iPhone,0,aileen wou,"Extremely Wicked, Shockingly Evil and Vile",add,title_results,2023-05-30 03:10:19
La que paga,US,iPhone,0,aileen wou,"Extremely Wicked, Shockingly Evil and Vile",select,title_results,2023-05-30 03:10:07
La que paga,US,iPhone,0,aileen wou,,select,title_results,2023-05-30 03:09:52
La que paga,US,iPhone,0,uñtima,,select,title_results,2023-05-29 18:38:57
La que paga,US,Set Top Box,0,all,,play,title_results,2023-05-28 02:52:39
La que paga,US,Set Top Box,0,all,,play,title_results,2023-05-28 02:50:24
La que paga,US,Set Top Box,0,all,,select,title_results,2023-05-28 02:50:13
La que paga,US,Set Top Box,0,all,,play,title_results,2023-05-27 23:30:37
La que paga,US,Set Top Box,0,all,,select,title_results,2023-05-27 23:29:41
La que paga,US,iPhone,0,the ultimat,,select,title_results,2023-05-26 22:46:56
La que paga,US,iPhone,0,too,,select,title_results,2023-04-19 04:19:12
La que paga,US,iPhone,0,too,,select,title_results,2023-04-19 04:11:49
La que paga,US,iPhone,0,too,,select,title_results,2023-04-19 02:20:33
La que paga,US,iPhone,0,too,"Too Hot to Handle: Season 1: ""Love, Sex or Money""",play,title_results,2023-04-19 02:20:23
La que paga,US,Set Top Box,0,,,play,prequery_results,2023-03-30 22:21:50
La que paga,US,Set Top Box,0,,,select,prequery_results,2023-03-30 22:21:43
