Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
La que paga,NFCDCH-02-K915V5DAW4H0RDQNDM2KE4X1CJPFQN,Chrome PC (Cadmium),2023-06-19T17:59:38.031Z,2023-08-02T02:51:15.143Z,,,2023-06-19T17:59:38.031Z,2023-08-02T02:51:15.143Z,,,1970-01-01T00:00:00.000Z
La que paga,SSTV-PTM2-0000000000000001250041,Samsung CE 2022 Pontus-M Smart TV,2022-11-17T21:13:48.620Z,2023-08-02T01:15:41.126Z,2022-11-17T21:15:14.814Z,2023-08-02T01:15:41.126Z,2022-11-17T21:13:48.620Z,2023-08-02T01:15:41.126Z,2022-11-17T21:15:14.814Z,2023-08-02T01:15:41.126Z,2023-05-17T18:22:22.452Z
La que paga,NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,DefaultWidevineAndroidPhone,2022-10-05T22:41:09.798Z,2023-08-01T23:41:44.627Z,2022-10-05T22:41:09.798Z,2023-08-01T23:41:44.627Z,2022-10-05T22:41:09.798Z,2023-08-01T23:41:44.627Z,2022-10-05T22:41:09.798Z,2023-08-01T23:41:44.627Z,2023-04-26T18:08:16.943Z
La que paga,NFAPPL-02-IPHONE15=2-E45DBCF73A013E902E1FEA69D0366A3018729C1F738B2D9B229D4B6B0645D7A7,Apple iPhone 14 Pro iPhone,2023-05-16T00:56:35.892Z,2023-08-01T20:32:45.574Z,2023-05-16T00:56:35.892Z,2023-08-01T20:32:45.574Z,2023-05-16T00:56:35.892Z,2023-08-01T20:32:45.574Z,2023-05-16T00:56:35.892Z,2023-08-01T20:32:45.574Z,1970-01-01T00:00:00.000Z
La que paga,NFXONE-02-7JA988FM8ETE3HCNSV1DCZ47P2MKCTZ8XSA5D225HE19WPCDZS,Microsoft Xbox One,2021-10-19T19:07:32.796Z,2023-07-31T06:58:06.871Z,2021-10-19T19:07:50.348Z,2023-07-31T06:16:14.055Z,2021-10-19T19:07:32.796Z,2023-07-31T06:58:06.871Z,2021-10-19T19:07:50.348Z,2023-07-31T06:16:14.055Z,2023-04-26T18:08:16.943Z
La que paga,RKU-8XXXX-YK00E6078266,Roku Midland Smart TV,2021-07-17T17:12:25.401Z,2023-07-30T06:00:20.724Z,2021-07-18T03:02:42.137Z,2023-07-30T06:00:20.724Z,2021-07-17T17:12:25.401Z,2023-07-30T06:00:20.724Z,2021-07-18T03:02:42.137Z,2023-07-30T06:00:20.724Z,2023-04-26T18:08:16.943Z
La que paga,NFANDROID2-PRV-SABRINA-GOOGLCHROMECAST-27454-A338B787ACE07206419C58E19AAEA5CD6DFC4C8C0C57388DDE39CB24B92518E5,Google Sabrina ATV Set Top Box,2023-05-03T03:14:07.481Z,2023-07-29T03:29:00.080Z,2023-05-03T03:14:07.481Z,2023-07-29T03:29:00.080Z,2023-05-03T03:14:07.481Z,2023-07-29T03:29:00.080Z,2023-05-03T03:14:07.481Z,2023-07-29T03:29:00.080Z,1970-01-01T00:00:00.000Z
La que paga,NFCDSF-PH-JFFHMKLVNFG01HQH5JKY3JA448EGHL,Netflix iPhone-Safari iPhone,,,,,,,,,2023-04-26T18:08:16.943Z
La que paga,NFAPPL-02-IPHONE14=2-360B13948814227917C5338492AC69DE887B5DB32C4C05327518742853A9BF10,Apple iPhone 13 Pro,2023-04-17T03:53:05.860Z,2023-07-27T03:55:40.972Z,2023-04-17T04:39:13.480Z,2023-07-17T21:20:24.252Z,2023-04-17T03:53:05.860Z,2023-07-27T03:55:40.972Z,2023-04-17T04:39:13.480Z,2023-07-17T21:20:24.252Z,2023-05-04T14:15:35.195Z
La que paga,NFXBSX-02-1TPPMB6RH95ZGTM9WZCTHSPP003R9DVD5UDFWW38ECNDV7FT2Y07,Microsoft Xbox Series S,2022-10-21T02:51:57.873Z,2023-07-15T22:30:43.564Z,2022-10-21T02:51:57.873Z,2023-07-15T22:30:43.564Z,2022-10-21T02:51:57.873Z,2023-07-15T22:30:43.564Z,2022-10-21T02:51:57.873Z,2023-07-15T22:30:43.564Z,2023-04-26T18:08:16.943Z
