Esn,Localized Device Description,Device Description,Ip,Country,Region Code Display Name,Near Location,Ts
CMCSTX1005-000C010D032A5D54-704FB8760EA3,Comcast_Arris-Xi6-5.1.1,Comcast_Arris-Xi6-5.1.1,98.193.90.125,US,Illinois,CHICAGO,2022-10-14 03:36:53
ENSEO-330X00000000000000000000000000014476,Enseo_HD3300,Enseo_HD3300,68.170.73.24,US,California,ANAHEIM,2023-04-23 15:33:47
ENSEO-330X00000000000000000000000000014476,Enseo_HD3300,Enseo_HD3300,68.170.73.25,US,California,ANAHEIM,2023-04-22 22:05:16
GOOGCAP0010000000000000005974491,chromecast-cadmium,chromecast-cadmium,2601:241:8701:a5e0:71c6:bbac:a8c3:7dd1,US,Illinois,CHICAGO,2022-11-13 00:10:57
GOOGCAP0010000000000000005974491,chromecast-cadmium,chromecast-cadmium,2601:241:8701:a5e0:5016:2591:67e8:94f7,US,Illinois,CHICAGO,2022-11-13 17:21:02
GOOGCAP0010000000000000005974491,chromecast-cadmium,chromecast-cadmium,2601:241:8701:a5e0:8505:f69a:4017:5006,US,Illinois,CHICAGO,2022-10-28 01:45:09
GOOGCAP0010000000000000005974491,chromecast-cadmium,chromecast-cadmium,2601:241:8701:a5e0:8d8e:f5cc:d36b:b274,US,Illinois,CHICAGO,2022-11-03 19:33:28
GOOGCAP0010000000000000005974491,chromecast-cadmium,chromecast-cadmium,2601:241:8701:a5e0:9863:65fb:220b:7cf7,US,Illinois,CHICAGO,2022-11-30 21:21:30
GOOGCAP0010000000000000005974491,chromecast-cadmium,chromecast-cadmium,2601:241:8701:a5e0:d85d:77e:a892:fb28,US,Illinois,CHICAGO,2022-10-25 00:33:02
GOOGCAP0010000000000000005974491,chromecast-cadmium,chromecast-cadmium,2601:241:8701:a5e0:1406:1332:46f3:166f,US,Illinois,CHICAGO,2022-10-30 22:06:48
GOOGCAP0010000000000000005974491,chromecast-cadmium,chromecast-cadmium,2601:241:8701:a5e0:803f:c6c9:50d2:4a7e,US,Illinois,CHICAGO,2022-11-09 03:14:56
GOOGCAP0010000000000000005974491,chromecast-cadmium,chromecast-cadmium,2601:241:8701:a5e0:41a3:2fa9:3e05:23f4,US,Illinois,CHICAGO,2022-10-16 02:20:18
GOOGCAP0010000000000000005974491,chromecast-cadmium,chromecast-cadmium,2601:241:8701:a5e0:e599:8720:bc70:71ce,US,Illinois,CHICAGO,2022-11-10 23:31:14
GOOGCAP0010000000000000011265940,chromecast-cadmium,chromecast-cadmium,4.14.52.143,US,Arizona,PHOENIX,2022-12-09 07:09:27
